Waktu,Tweet,Username
2021-11-16 15:23:59+00:00,'Iya siih.. Tapi gmn ya.. Kadang2 butuh jg sih.. #PercumaLaporPolisi',Rc13
2021-11-16 15:23:24+00:00,"'RT @indoprogress: Sejak muculnya #PercumaLaporPolisi, bagai air bah bermunculan kesaksian mengenai ketidakbecusan kepolisian dalam menindak\xe2\x80\xa6'",Berantakan
2021-11-16 15:20:52+00:00,"'RT @ddarkgod: sudah sering dia melakukan hal seperti ini, tapi polisi cuma nunggu adanya laporan, lucu yah.\ndan banyak orang tau kalau hal\xe2\x80\xa6'",Tri
2021-11-16 15:18:41+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',Tajudin
2021-11-16 15:15:37+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',Pisangraja
2021-11-16 15:14:31+00:00,'Wajib punya supaya kamu wangiiii sepanjang hari!\n\nENCHANTEUR PERFUMED BODY LOTION\nReady stock semua varian \xf0\x9f\x92\x9b\xe2\x9d\xa4\xf0\x9f\x92\x9c\n\nhttps://t.co/MBr5kdS8cr\n\n#IkatanCintaEp512 #percumalaporpolisi #PashaKawinLari #KawalSampaiTuntas \ntvri thank you shopee kedinginan istrinya https://t.co/dA1A0iEZak',IG @tokogrocery (cek pin)
2021-11-16 15:13:46+00:00,"'Tdi di jln plg kn hujan lebat, trs tb2 ada org dri blkng nylip blng ""mas ati2 dong jgn egois sy abis plg krja jdi basah!"" pegang tngan sdra sya. ternyata POLISI hhh slh sndri knp g pke jas ujan pak wkwk KNP PAK SERAGAM MAHALNYA BASAH YA?#PercumaLaporPolisi'",just titiiii-ah
2021-11-16 15:12:19+00:00,'RT @bob_ichsan: Baru kali ini kayaknya klu mau buat laporan harus menyurati pimpinan polisi terlebih dulu...\nApa benar #PercumaLaporPolisi\xe2\x80\xa6',Yunandes
2021-11-16 15:10:56+00:00,'RT @CH1K4444: Semoga lancar... xixi\nBer bisnis PCR\n\n#percumalaporpolisi\n#percumalaporpolisi\n\nhttps://t.co/4ouoounkiW',Yunandes
2021-11-16 15:08:50+00:00,"'RT @husinsuyut: #percumalaporpolisi \nmobil guwe hilang dibawa lari orang, bikin laporan ke polisi, dipanggil ber-kali2 untuk melengkapi ber\xe2\x80\xa6'",gheysð£
2021-11-16 15:07:28+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',Gabriel Bejo
2021-11-16 15:06:56+00:00,"'https://t.co/s0MzSVMAFX\nIrjen Ferdy Sambo: Jangan Viralkan Polisi Nakal, Lapor Propam Saja\nCovid-19\n16 November 2021\nAda 4.251.423\nMeninggal 143.685\nSelasa\nTangkap\nTeroris\nUlama\nAnwar Abbas\nTVRI\nKedinginan\nIstrinya\n#PercumaLaporPolisi\n#PercumaLaporPolisi'",onom
2021-11-16 15:06:33+00:00,"'cuman PKI yg mau #bubarkanMUI , lama2 Muhammdiyah dibubarin, trs NU, REZIM PKI.\n\ntag\nAnwar Abbas\n#PercumaLaporPolisi\nTeroris\n#SaminaWaathonaIBHRS \n#BKNbiangMaling Ulama\nAl-Waqiah\nTangkap\n#PresidenTakutBanjirSintang https://t.co/d9NbMwuJAP'",dempak
2021-11-16 15:05:07+00:00,'APPS PREMIUM\xf0\x9f\x92\x95\n\xe2\x96\xab\xef\xb8\x8fNetflix\n7 hari 15k\n1 bulan 38k\nPrivate 160k\n\n\xe2\x96\xab\xef\xb8\x8fYoutube Premium\n4 bln 30k\n\n\xe2\x96\xab\xef\xb8\x8fVidio\n2 bln 30k\n\n\xe2\x96\xab\xef\xb8\x8fMola sport\n1 bln 50k\n\n\xe2\x96\xab\xef\xb8\x8fCanva\n1 thn 35k\n\njual viu get contact spotify fajri hma vpn disney  #IndonesiaMaster2021 tvri seto psim #percumalaporpolisi #PashaKawinLari https://t.co/JchMbcjFv1',key | jual netflix 38k canva vidio zoom youtube
2021-11-16 15:03:24+00:00,'Keren bener ini Bupati Banyumas ya ? Kalo Tangkap Teroris juga apakah juga di kasih tau dlu..? \n\n#PercumaLaporPolisi https://t.co/6X9jk7eXic',Beny Sulaiman Musa
2021-11-16 15:02:45+00:00,'Apa tagar #PercumaLaporPolisi nyata realitanya?',Just Me
2021-11-16 15:02:21+00:00,'Kalo #PercumaLaporPolisi terus masyarakat harus lapor ke siapa?',Just Me
2021-11-16 15:01:50+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',INDONESIA BANGKIT ð®ð©ð®ð©
2021-11-16 15:01:38+00:00,"'https://t.co/iIZcF4D2iT\nDemi Bangsa, Erick Thohir Harusnya Ikut Sukseskan Formula E\nAda 4.251.423\nMeninggal 143.685\n#percumalaporpolisi\n#PencitraanBasiPejabat\n#SaminaWaathonaIBHRS\n#justiceforibhrsandkm50\n#bongkarkorupsibansos\n#batalkanuuciptakerja\n#COVID19\n#SpiderMan\n#TuesdayMood'",onom
2021-11-16 15:00:53+00:00,"'RT @alqadrie_ipeh: \xe2\x86\x95\xef\xb8\x8f\xe2\x86\x95\xef\xb8\x8f\n\nKetegasan itu Diperlukan\n\n https://t.co/nnmLpQMz5S\n\n""Hujan Uang"" di mapolsek Banyuwangi senin 15/11/2021.\n#percuma\xe2\x80\xa6'",Kaji_Mvpivana
2021-11-16 15:00:42+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',mhd amien
2021-11-16 15:00:25+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',sehat bernarasi
2021-11-16 14:57:25+00:00,'Oh kalau sudah di faksin boleh begal orang yang belum di faksin jika si korban melaporkan gak akan di terima laporannya karena belum faksin. Di Aceh gitu gw liat tapi kasusnya pelecehan.\n#keadilan #percumalaporpolisi #aceh #pemerintahindo #pemerintahaceh',Nizar Fahlevi
2021-11-16 14:55:58+00:00,'Ga sia2 nurunin baliho..\xf0\x9f\x98\x83\n#percumalaporpolisi https://t.co/QEmFk17F2O',@Ade_Sajeeda-
2021-11-16 14:53:58+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',King_Gambit
2021-11-16 14:43:33+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',Dikyraapa
2021-11-16 14:41:43+00:00,"'Daripada Menangkap Ustadz Farid Okbah Cs, Polisi Harus Dahulukan Proses Hukum LBP https://t.co/4GMDqFHuJF\nCovid-19\n16 November\nUdah 4.251.423\nMeninggal 143.685\nSelasa\nPenting\nUlama\nAnwar Abbas\nTVRI\nTeroris\nKedinginan\nIstrinya\n#PercumaLaporPolisi\n#PercumaLaporPolisi'",onom
2021-11-16 14:39:54+00:00,'Bismillah Kakek beranikan diri vaksin ... Semangat berangkat ke Baitullah\n\nTeroris Kedinginan Salatiga Anwar Abbas Ulama #SaminaWaathonaIBHRS #PercumaLaporPolisi \n\nhttps://t.co/Egdv4FvJ1q',KompasTV Jateng
2021-11-16 14:34:48+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',supendi
2021-11-16 14:32:55+00:00,'KKN Makin Beringas di Era Jokowi https://t.co/QY3iiWu5PI\nCovid-19\n16 November\nUdah 4.251.423\nMeninggal 143.685\n#percumalaporpolisi\n#PencitraanBasiPejabat\n#SaminaWaathonaIBHRS\n#justiceforibhrsandkm50\n#bongkarkorupsibansos\n#batalkanuuciptakerja\n#COVID19\n#SpiderMan\n#TuesdayFeeling',onom
2021-11-16 14:31:30+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',ð¿ð´ðð¹ðð°ð½ð¶ð°ð½ ðºð°ðð°
2021-11-16 14:30:47+00:00,'RT @viz90: @VIVAcoid Sodara saya sudah lapor ke propam kasus mobil dicuri sama anggota polisi sudah naik kasus tapi akhirnya redum lagi.. p\xe2\x80\xa6',Bang Baim Adji Batavia
2021-11-16 14:27:27+00:00,"'#PercumaLaporPolisi lihat ini trending ternyata banyak keluhan, tapi sedikit sedih ada yang kasih keluar kata-kata yg um... jujurly sa bapa polisi, tugas di pedalaman papua taruhannya nyawa de kerja dengan hati sampai pas mau pindah masyarakat menangis bapa\xf0\x9f\xa5\xba.'",Nadaaað«
2021-11-16 14:25:00+00:00,"'RT @imbangimedia: Berani JUJUR, MUTASI!!!!! #percumalaporpolisi'",Ravania Alya
2021-11-16 14:24:17+00:00,"'RT @RadenKianSayang: Maaf Pak @ListyoSigitP .\nKemarin kan ada tagar  #PercumaLaporPolisi , tp ini malah ada yg LAPOR tp malah DITOLAK.\nGili\xe2\x80\xa6'",Ravania Alya
2021-11-16 14:24:03+00:00,'RT @projectm_org: Lydia berharap polisi yang menyelidiki sekarang bisa \xe2\x80\x9cmenempatkan kemanusiaannya dengan baik.\xe2\x80\x9d\n\nReportase lanjutan \xe2\x80\x9cTiga\xe2\x80\xa6',Ravania Alya
2021-11-16 14:22:45+00:00,"'RT @Muhamma60791227: Tindakan represif anggota kepolisian yg menembaki warga ,ibu ibu dan anak anak di bawah umur yg bertujuan untuk bertan\xe2\x80\xa6'",Ravania Alya
2021-11-16 14:22:21+00:00,'RT @Anjay96162619: Miris polisi Indonesia sekarang.  hukum pun tak berguna bagi mereka yg berpangkat dan berduit. #PercumaLaporPolisi #huku\xe2\x80\xa6',Ravania Alya
2021-11-16 14:22:09+00:00,"'RT @Muhamma60791227: Oknum polisi kembali berulah, dgn menembaki warga yg ingin bertanya kekantor polisi,beginilah kalau polisi sudah kena\xe2\x80\xa6'",Ravania Alya
